"full_name","diameter","epoch_mjd","e","a","i","om","w","ma","n","moid"
" 99942 Apophis (2004 MN4)",0.34,60200,0.1914,0.9227,3.34,203.96,126.60,142.86,1.112,0.000257
"100085 (1992 UY4)",,60200,0.6193,2.65,2.64,305.19,42.22,66.91,0.2284,0.0243
"101869 (1999 MM)",,60200,0.6109,1.624,4.77,110.93,268.82,222.24,0.4761,0.00153
"101955 Bennu (1999 RQ36)",0.482,55562,0.2037,1.126,6.03,2.06,66.22,101.70,0.8245,0.00322
"103067 (1999 XA143)",1.282,60200,0.5814,1.844,38.54,116.60,104.02,131.87,0.3937,0.0415
"111253 (2001 XU10)",3.006,60200,0.4394,1.754,42.02,310.16,6.96,252.48,0.4244,0.0297
"136617 (1994 CC)",,60200,0.4168,1.638,4.68,268.52,24.89,275.60,0.4702,0.0161
"136618 (1994 CN2)",,60200,0.3950,1.573,1.44,99.34,248.28,140.29,0.4996,0.0125
"136795 Tatsunokingo (1997 BQ)",,60200,0.4786,1.747,10.99,50.14,147.51,170.19,0.4267,0.0364
"136849 (1998 CS1)",,60200,0.5788,1.491,7.79,110.70,97.78,348.18,0.5412,0.0192
"137108 (1999 AN10)",,60200,0.5622,1.459,39.93,314.35,268.33,313.20,0.5596,0.000153
"137120 (1999 BJ8)",,60200,0.5501,1.9,8.99,339.59,221.86,122.44,0.3765,0.0247
"137126 (1999 CF9)",,60200,0.6002,1.774,5.55,157.04,90.31,114.07,0.4173,0.0189
"137427 (1999 TF211)",,60200,0.6115,2.44,39.48,347.92,162.39,29.11,0.2585,0.0284
"138095 (2000 DK79)",,60200,0.4146,1.776,60.69,43.46,2.55,53.69,0.4163,0.0485
"138127 (2000 EE14)",0.754,60200,0.5331,0.6618,26.46,155.75,197.85,64.08,1.831,0.0244
"138175 (2000 EE104)",,60200,0.2931,1.004,5.24,25.52,280.91,20.68,0.9796,0.00911
"138404 (2000 HA24)",,60200,0.3185,1.139,2.16,309.36,142.20,175.35,0.8111,0.0276
"138524 (2000 OJ8)",,60200,0.5679,2.358,6.25,226.58,181.24,99.08,0.2723,0.0278
"138727 (2000 SU180)",,60200,0.6049,2.105,11.92,327.90,136.29,160.19,0.3227,0.0347
"138971 (2001 CB21)",,60200,0.3333,1.034,7.92,353.68,271.93,100.72,0.9378,0.0244
"139211 (2001 GN2)",,60200,0.4517,1.86,26.05,173.53,3.58,310.97,0.3886,0.0245
"139359 (2001 ME1)",,60200,0.8702,2.633,5.96,84.59,302.36,46.62,0.2307,0.013
"139622 (2001 QQ142)",,60200,0.3112,1.423,9.32,83.25,337.91,318.06,0.5808,0.0105
"140039 (2001 SO73)",,60200,0.5688,1.82,4.86,197.19,30.90,62.61,0.4015,0.0464
"140158 (2001 SX169)",0.566,60200,0.4610,1.347,2.52,126.80,42.72,202.32,0.6302,0.0262
"140288 (2001 SN289)",1.263,60200,0.5080,1.784,53.20,357.08,225.63,179.00,0.4135,0.0187
"141053 (2001 XT1)",,60200,0.5795,1.528,2.73,316.23,31.38,219.33,0.5216,0.0413
"141432 (2002 CQ11)",0.239,60200,0.4276,0.9762,2.47,81.34,272.65,192.97,1.022,0.0197
"141495 (2002 EZ11)",,60200,0.8022,1.114,2.35,51.88,317.77,219.50,0.8382,0.000996
"141525 (2002 FV5)",,60200,0.7246,1.087,34.04,38.84,308.12,263.23,0.8697,0.0359
"141527 (2002 FG7)",,60200,0.6268,1.513,9.20,187.49,247.68,230.81,0.5293,0.0411
"141593 (2002 HK12)",,60200,0.5289,2.001,2.35,306.99,2.27,161.95,0.3482,0.024
"141614 (2002 JV15)",,60200,0.5363,1.624,7.19,200.62,127.41,78.45,0.4764,0.0398
"141851 (2002 PM6)",,60200,0.8502,1.198,19.14,304.01,224.52,70.36,0.7518,0.0387
"143404 (2003 BD44)",,60200,0.6064,1.969,2.66,181.24,89.31,99.51,0.3567,0.0178
"143487 (2003 CR20)",,60200,0.7298,2.124,4.99,177.08,88.81,202.55,0.3184,0.000429
"143649 (2003 QQ47)",,60200,0.1870,1.085,62.10,0.99,104.96,185.43,0.8717,0.00136
"143651 (2003 QO104)",,60200,0.5256,2.134,11.62,58.17,183.57,208.99,0.3162,0.000321
"143992 (2004 AF)",,60200,0.5541,1.971,27.14,315.64,57.95,62.90,0.3563,0.0326
"144332 (2004 DV24)",,60200,0.2898,1.423,55.89,171.13,186.42,334.14,0.5807,0.00595
"144898 (2004 VD17)",,60200,0.5887,1.508,4.22,223.98,90.99,93.27,0.5323,0.00172
"144900 (2004 VG64)",,60200,0.6556,0.9683,36.26,208.86,43.92,335.94,1.034,0.0279
"152560 (1991 BN)",,60200,0.3981,1.443,3.45,268.81,81.00,29.13,0.5683,0.0208
"152561 (1991 RB)",,60200,0.4857,1.454,19.58,359.30,68.94,55.07,0.5619,0.0385
"152637 (1997 NC1)",,60200,0.2084,0.8648,16.72,96.46,16.59,345.68,1.225,0.0162
"152664 (1998 FW4)",,60200,0.7141,2.526,3.42,353.65,85.41,165.81,0.2456,0.0151
"152671 (1998 HL3)",0.298,60200,0.3660,1.129,2.68,163.64,188.15,317.63,0.8216,0.0454
"152680 (1998 KJ9)",,60200,0.6398,1.448,10.93,98.55,260.11,150.36,0.5658,0.00618
"152685 (1998 MZ)",,60200,0.5730,1.346,0.15,122.19,39.35,96.63,0.6311,0.00163
"152754 (1999 GS6)",0.414,60200,0.4974,1.191,2.02,314.43,134.95,340.15,0.7581,0.0189
"152770 (1999 RR28)",,60200,0.6540,1.879,7.14,178.18,284.55,78.83,0.3827,0.0166
"152828 (1999 VT25)",,60200,0.5232,1.162,5.15,221.94,319.24,299.00,0.7867,0.0483
"152978 (2000 GJ147)",0.531,60200,0.2367,1.162,25.01,57.85,240.80,179.38,0.7867,0.0264
"153002 (2000 JG5)",,60200,0.7959,1.341,31.43,213.05,233.44,53.55,0.6349,0.0294
