"full_name","diameter","epoch_mjd","e","a","i","om","w","ma","n","moid"
"       (2017 HY50)",,60200,0.6562,2.639,18.77,77.63,233.20,154.24,0.23,0.0409
"       (2017 JT2)",,60200,0.7839,1.162,42.72,21.16,47.43,93.62,0.7871,0.0247
"       (2017 JD3)",,60200,0.6190,2.364,14.04,229.78,51.31,256.07,0.2711,0.023
"       (2017 JE3)",,60200,0.4630,1.075,6.98,36.52,61.97,316.95,0.884,0.0162
"       (2017 JF3)",,60200,0.3493,0.9065,5.82,243.20,130.37,4.72,1.142,0.00404
"       (2017 KZ4)",,60200,0.7968,1.537,25.23,231.30,230.27,155.69,0.5175,0.0414
"       (2017 KN34)",,60200,0.7419,1.611,53.27,213.89,111.33,6.40,0.4822,0.00987
"       (2017 LU)",,60200,0.6013,2.632,9.93,308.55,357.69,162.07,0.2308,0.0345
"       (2017 MA)",,60200,0.5757,2.319,14.00,93.37,218.18,263.99,0.279,0.0364
"       (2017 MC)",,57924,0.6393,2.445,17.13,258.44,313.55,11.88,0.2578,0.00782
"       (2017 MA1)",,57925,0.8993,2.514,15.11,94.97,47.23,11.50,0.2472,0.0314
"       (2017 MB1)",,60200,0.7523,2.374,8.50,126.83,264.75,232.44,0.2694,0.0106
"       (2017 MV2)",,60200,0.5500,2.328,7.52,172.85,167.56,248.59,0.2774,0.0451
"       (2017 MH7)",,57932,0.7314,2.417,14.02,96.04,282.52,343.34,0.2623,0.0053
"       (2017 MN7)",,60200,0.6153,2.438,11.34,182.82,157.34,212.50,0.2588,0.0265
"       (2017 MU8)",,60200,0.2545,0.9561,18.61,276.16,228.22,349.50,1.054,0.0478
"       (2017 NH)",,60200,0.3297,1.394,6.25,269.51,71.84,243.31,0.599,0.041
"       (2017 NK)",,60200,0.1216,0.9666,13.55,254.72,262.42,292.05,1.037,0.0429
"       (2017 NS5)",,60200,0.2572,0.976,43.93,294.81,119.27,49.10,1.022,0.0244
"       (2017 NM6)",,60200,0.5682,2.357,55.50,289.82,349.44,257.12,0.2723,0.00713
"       (2017 NN6)",,60200,0.7384,2.232,7.80,95.22,99.78,318.80,0.2955,0.0234
"       (2017 OA)",,60200,0.5698,1.809,4.12,226.98,147.89,156.57,0.405,0.038
"       (2017 OL1)",,60200,0.6176,2.47,1.34,161.23,98.25,216.50,0.2539,0.0171
"       (2017 OP19)",,60200,0.6630,2.855,18.71,207.91,166.18,77.93,0.2043,0.0211
"       (2017 PR25)",,60200,0.5966,2.397,13.35,182.66,141.52,226.67,0.2656,0.0333
"       (2017 PV26)",,60200,0.6097,2.465,14.13,355.94,27.27,193.38,0.2547,0.000271
"       (2017 QW17)",,60200,0.6452,0.8879,12.34,337.07,208.71,176.42,1.178,0.0444
"       (2017 QL33)",,60200,0.4801,1.838,1.71,357.22,71.79,112.77,0.3955,0.0205
"       (2017 QV34)",,60200,0.6029,2.482,10.02,188.31,213.78,179.44,0.252,0.035
"       (2017 QY34)",,60200,0.4150,0.8133,27.22,328.61,222.73,188.72,1.344,0.0324
"       (2017 QC36)",,60200,0.2961,0.7991,17.36,136.67,356.58,25.31,1.38,0.021
"       (2017 RL)",,60200,0.5801,2.439,19.54,344.81,347.70,213.42,0.2588,0.0241
"       (2017 RV)",,60200,0.6147,1.224,3.01,329.15,241.34,221.97,0.7275,0.00455
"       (2017 RV1)",,60200,0.6262,2.428,2.05,292.14,123.11,196.58,0.2605,0.0118
"       (2017 RR15)",,60200,0.4282,1.378,18.53,13.45,97.80,193.20,0.6091,0.0395
"       (2017 SN2)",,60200,0.4912,2.063,22.87,2.73,354.94,6.42,0.3326,0.0478
"       (2017 SG14)",,60200,0.2331,1.277,47.57,177.20,315.30,285.58,0.6828,0.0388
"       (2017 SL17)",,60200,0.6615,2.739,18.61,207.40,227.30,100.04,0.2175,0.0483
"       (2017 SE19)",,60200,0.5267,2.119,8.80,87.26,29.74,307.68,0.3195,0.0473
"       (2017 SV20)",,60200,0.3053,1.303,22.72,110.87,119.64,147.28,0.6624,0.0085
"       (2017 SY32)",,60200,0.4369,1.147,26.04,220.43,271.05,247.83,0.8022,0.0411
"       (2017 TK1)",,60200,0.5682,2.244,9.93,354.46,355.53,281.14,0.2932,0.0335
"       (2017 TG2)",,60200,0.6350,1.64,4.07,249.08,229.05,267.47,0.4692,0.0444
"       (2017 TV4)",,60200,0.6292,2.308,44.91,191.63,238.05,233.78,0.2812,0.0398
"       (2017 TH6)",,60200,0.4957,1.78,3.85,328.21,127.15,145.80,0.4149,0.0104
"       (2017 TN6)",,60200,0.6674,2.281,7.53,42.93,262.57,275.13,0.2861,0.0324
"       (2017 UR4)",,60200,0.3565,1.466,21.75,211.11,311.22,14.40,0.5555,0.0261
"       (2017 UX5)",,60200,0.2412,1.213,18.27,59.41,52.14,105.77,0.7381,0.00567
"       (2017 UY5)",,60200,0.5215,1.871,14.45,81.38,32.62,91.69,0.3851,0.0304
"       (2017 UZ7)",,60200,0.6114,2.183,5.36,186.40,115.09,316.47,0.3056,0.0175
"       (2017 UQ51)",,60200,0.4840,1.855,4.28,49.12,244.98,171.49,0.3902,0.0368
"       (2017 VD)",,60200,0.8173,2.502,8.38,225.78,71.24,183.81,0.249,0.0181
"       (2017 VT)",,60200,0.6783,3.024,16.09,119.29,222.13,47.80,0.1875,0.0492
"       (2017 VV)",,60200,0.5404,1.807,18.92,56.28,244.33,178.69,0.4058,0.0153
"       (2017 VJ1)",,58069,0.6023,1.705,26.13,63.39,72.45,329.14,0.4426,0.0459
"       (2017 VX1)",,60200,0.5252,1.947,8.66,298.93,198.21,20.54,0.3628,0.0329
"       (2017 VR12)",,60200,0.2694,1.369,9.22,347.26,180.80,159.30,0.6152,0.00621
"       (2017 VW13)",,60200,0.5559,2.167,11.49,45.67,337.13,305.92,0.3091,0.00102
"       (2017 VV14)",,60200,0.8450,2.24,15.89,77.93,234.76,290.64,0.2941,0.0491
"       (2017 VO15)",,60200,0.4801,1.889,26.07,80.36,19.03,76.01,0.3796,0.0141
"       (2017 WG2)",,60200,0.5783,1.124,14.54,101.35,103.16,233.38,0.8271,0.0456
"       (2017 WX12)",,60200,0.5625,2.173,12.49,84.44,34.21,276.45,0.3078,0.0209
"       (2017 WV13)",,60200,0.6770,1.288,12.09,253.64,298.21,298.73,0.6739,0.00923
"       (2017 WK14)",,60200,0.5759,2.129,6.23,215.15,148.20,324.96,0.3173,0.0158
"       (2017 WC15)",,60200,0.5087,1.752,36.01,31.30,243.07,227.19,0.425,0.0412
"       (2017 WN16)",,60200,0.5365,1.273,30.64,246.83,79.05,57.88,0.6858,0.0147
"       (2017 WN28)",,60200,0.4142,1.723,10.07,327.21,11.42,261.61,0.4357,0.00336
"       (2017 XC)",,60200,0.6009,2.375,33.64,48.44,318.63,219.39,0.2694,0.0489
"       (2017 XA1)",,60200,0.2017,0.8095,17.18,239.64,327.65,190.96,1.353,0.049
"       (2017 XL2)",,60200,0.6639,1.994,16.93,266.31,82.15,35.19,0.3501,0.00249
"       (2017 YH1)",,60200,0.5238,1.808,15.82,87.06,307.88,143.96,0.4053,0.00518
"       (2017 YR1)",,60200,0.6223,2.47,17.89,274.20,140.58,176.28,0.2539,0.0287
"       (2017 YE5)",,60200,0.7091,2.821,6.22,103.94,110.75,45.58,0.208,0.0214
"       (2017 YD8)",,60200,0.3216,1.315,24.54,97.39,293.85,317.99,0.6533,0.0499
"       (2017 YS8)",,60200,0.3826,0.8656,32.30,321.31,303.26,260.86,1.224,0.0425
"       (2018 AT)",,60200,0.3992,1.691,13.38,355.78,21.50,244.06,0.4483,0.0295
"       (2018 AE2)",,60200,0.5445,2.205,35.81,338.60,192.21,249.46,0.301,0.0203
"       (2018 AJ12)",,60200,0.7378,2.38,11.51,96.32,286.18,223.05,0.2684,0.0269
"       (2018 AM12)",,60200,0.1163,0.9171,21.67,288.85,51.07,280.12,1.122,0.00829
"       (2018 BP)",,60200,0.3979,1.557,3.33,183.29,216.50,354.16,0.5074,0.00323
"       (2018 BO1)",,60200,0.4447,1.678,11.27,350.62,23.13,280.79,0.4536,0.043
"       (2018 BY2)",,60200,0.3816,1.641,9.00,202.43,330.23,219.64,0.4687,0.0404
"       (2018 BZ2)",,60200,0.5990,2.173,11.82,244.11,150.64,292.70,0.3078,0.0481
"       (2018 BM3)",,60200,0.5107,1.117,19.62,105.46,250.81,359.91,0.8351,0.00379
"       (2018 BD6)",,60200,0.5745,2.42,48.88,130.74,351.30,182.03,0.2618,0.0476
"       (2018 BT6)",,60200,0.8277,2.251,3.00,307.07,72.08,252.22,0.2918,0.00172
"       (2018 BA7)",,60200,0.4924,1.477,18.37,322.38,67.81,83.37,0.5492,0.0446
"       (2018 CZ2)",,60200,0.6722,2.178,5.42,120.52,117.92,245.26,0.3067,0.0207
"       (2018 DA1)",,60200,0.7273,1.207,25.49,139.92,233.93,176.54,0.743,0.0025
"       (2018 DH1)",,60200,0.6035,2.095,1.97,146.07,97.41,275.72,0.3251,0.0139
"       (2018 EB)",,60200,0.0122,1.017,29.44,194.55,126.88,346.12,0.9614,0.00973
"       (2018 EE)",,60200,0.6516,2.815,3.89,109.31,35.11,61.74,0.2086,0.0241
"       (2018 EM2)",,60200,0.4822,2.027,6.54,64.49,188.75,293.86,0.3415,0.0371
"       (2018 ED4)",,60200,0.6232,2.656,14.47,274.79,349.49,63.87,0.2276,0.00932
"       (2018 EH4)",,60200,0.6126,2.06,6.19,2.85,75.22,331.08,0.3334,0.024
"       (2018 EJ4)",,60200,0.1835,1.257,10.39,78.08,188.23,258.18,0.6994,0.012
"       (2018 FS3)",,60200,0.4858,1.881,4.33,188.64,69.16,15.15,0.382,0.0467
"       (2018 FJ4)",,60200,0.3864,1.479,1.23,223.89,88.88,290.65,0.5478,0.013
"       (2018 FJ5)",,60200,0.8567,2.487,18.25,124.28,287.65,157.93,0.2513,0.0341
"       (2018 FO5)",,60200,0.4347,1.66,9.13,236.95,41.31,147.61,0.4607,0.00148
"       (2018 GM)",,60200,0.5522,1.669,33.06,18.85,255.78,160.79,0.457,0.0141
"       (2018 GJ1)",,60200,0.5511,1.805,6.80,38.32,250.63,54.65,0.4065,0.014
"       (2018 GG2)",,60200,0.7103,2.236,43.32,195.08,278.48,242.90,0.2948,0.00078
"       (2018 HQ)",,60200,0.5783,1.811,13.75,9.06,294.97,45.31,0.4046,0.0154
"       (2018 HL2)",,60200,0.4679,1.671,33.46,45.90,233.18,150.07,0.4564,0.00808
"       (2018 JA)",,60200,0.2970,1.421,28.15,63.51,197.82,36.29,0.582,0.00367
"       (2018 JD2)",,60200,0.8824,1.823,51.03,54.51,313.24,23.37,0.4005,0.00354
"       (2018 JK3)",,60200,0.2783,0.9541,43.23,64.58,305.10,149.28,1.058,0.0315
"       (2018 JD5)",,60200,0.5537,2.35,3.63,269.36,31.01,163.37,0.2736,0.0437
"       (2018 KB1)",,60200,0.3738,1.666,12.13,107.27,171.75,160.82,0.4584,0.0287
"       (2018 LK)",,60200,0.3166,1.068,13.93,85.16,279.94,207.77,0.8935,0.000211
"       (2018 LB1)",,60200,0.6457,2.784,1.18,313.89,23.14,23.97,0.2122,0.000523
"       (2018 LL2)",,60200,0.6031,2.626,19.81,209.63,7.66,91.56,0.2316,0.0392
"       (2018 LF5)",,60200,0.6184,2.792,41.02,100.72,181.13,39.58,0.2113,0.0483
"       (2018 LZ13)",,60200,0.2997,1.355,66.41,279.69,171.10,316.95,0.625,0.033
"       (2018 LG16)",,60200,0.3539,1.551,22.94,77.35,0.28,111.81,0.5104,0.0162
"       (2018 MV4)",,60200,0.2424,1.251,26.11,109.60,344.71,97.45,0.7042,0.0299
"       (2018 MR5)",,60200,0.7167,2.076,2.76,326.05,205.44,294.14,0.3294,0.0421
"       (2018 MW6)",,60200,0.7742,3.39,10.26,240.34,120.94,287.60,0.1579,0.00566
"       (2018 MY6)",,60200,0.1543,0.9051,49.99,94.09,351.74,203.42,1.145,0.0258
"       (2018 MG7)",,60200,0.3273,0.9124,25.11,270.55,132.29,260.36,1.131,0.0223
"       (2018 NC)",,60200,0.6011,2.058,6.70,128.03,75.48,287.62,0.334,0.0356
"       (2018 NY14)",,60200,0.7719,1.261,25.18,141.13,315.59,159.73,0.6957,0.0397
"       (2018 NF15)",,60200,0.5490,1.654,3.27,13.71,32.27,118.40,0.4635,0.0389
"       (2018 OB1)",,60200,0.6911,3.179,4.34,174.60,225.07,312.29,0.1739,0.0327
"       (2018 PL23)",,60200,0.7868,1.567,14.35,178.31,293.67,140.88,0.5024,0.0315
"       (2018 PQ23)",,60200,0.6124,2.166,18.57,354.50,45.25,203.76,0.3092,0.0432
"       (2018 PK24)",,60200,0.6614,1.943,6.70,320.54,119.95,285.23,0.3638,0.0408
"       (2018 PP29)",,58356,0.7431,3.193,20.59,119.40,301.55,347.66,0.1728,0.029
"       (2018 QT)",,60200,0.6126,2.277,1.32,354.61,64.86,150.34,0.2869,0.00733
"       (2018 QN1)",,60200,0.5570,2.282,6.39,63.66,325.44,149.66,0.2859,0.0493
"       (2018 RB)",,60200,0.7326,1.95,4.56,349.18,244.31,326.16,0.3619,0.0239
"       (2018 RB7)",,60200,0.6686,2.416,5.30,115.53,314.31,108.15,0.2625,0.0189
"       (2018 RJ7)",,60200,0.6447,2.673,4.05,135.99,296.32,35.99,0.2255,0.0422
"       (2018 SX2)",,60200,0.2968,1.353,10.74,351.09,338.31,77.45,0.6264,0.0337
"       (2018 SK3)",,60200,0.7008,2.602,34.03,353.30,124.82,40.44,0.2349,0.0408
"       (2018 TO1)",,60200,0.3960,1.535,3.65,91.21,218.64,244.44,0.5185,0.00837
"       (2018 TY2)",,60200,0.8419,2.288,4.61,272.88,249.21,115.78,0.2848,0.00478
"       (2018 TF3)",,60200,0.7171,2.132,6.87,51.56,76.62,185.64,0.3165,0.02
"       (2018 UY)",,60200,0.5316,1.249,1.75,72.44,114.62,84.97,0.7063,0.00771
"       (2018 UA1)",,60200,0.6247,2.527,18.46,358.93,348.30,86.15,0.2453,0.0455
"       (2018 UQ1)",,60200,0.4913,1.614,1.62,254.30,220.05,107.31,0.4807,0.01
"       (2018 UC2)",,60200,0.4102,1.576,31.32,209.66,134.69,187.34,0.4982,0.02
"       (2018 VG3)",,60200,0.6501,1.508,6.01,355.99,283.53,275.20,0.5321,0.00415
"       (2018 WR1)",,60200,0.6460,2.252,15.17,274.59,244.87,126.76,0.2917,0.0225
"       (2018 WP2)",,60200,0.5222,1.944,7.90,55.06,309.60,292.84,0.3637,0.0304
"       (2018 WE3)",,60200,0.6611,2.727,8.71,240.66,159.44,32.42,0.2189,0.0259
"       (2018 XR)",,60200,0.6668,2.153,20.52,78.29,114.53,155.89,0.3119,0.0471
"       (2018 XY3)",,60200,0.6208,2.101,20.27,80.77,108.30,184.01,0.3236,0.0374
"       (2018 XG5)",,60200,0.6234,2.434,12.91,215.50,320.64,61.90,0.2596,0.00216
"       (2018 XV5)",,60200,0.6337,2.585,11.23,154.89,161.20,97.29,0.2371,0.0333
"       (2018 YH)",,60200,0.2640,1.119,11.92,320.50,245.73,282.52,0.8323,0.0325
"       (2018 YJ)",,60200,0.5591,2.312,18.09,25.96,153.69,107.50,0.2804,0.0487
"       (2018 YJ2)",,60200,0.4039,1.161,6.52,65.13,293.34,326.64,0.788,0.033
"       (2019 AV2)",,60200,0.6466,2.46,9.01,119.68,54.43,62.24,0.2555,0.0212
"       (2019 AZ2)",,58490,0.8833,2.458,7.33,83.76,255.25,12.41,0.2557,0.0343
"       (2019 AW4)",,60200,0.6200,2.248,14.41,153.70,56.59,116.22,0.2924,0.022
"       (2019 AN5)",,60200,0.4139,1.608,2.02,276.46,98.55,162.58,0.4834,0.0258
"       (2019 AP6)",,60200,0.4111,0.7396,7.07,327.30,325.04,282.95,1.55,0.0225
"       (2019 AN7)",,58492,0.8483,1.192,23.77,295.47,325.58,325.72,0.7577,0.0299
"       (2019 AG13)",,60200,0.6051,2.063,11.11,265.20,300.14,184.03,0.3327,0.00589
"       (2019 BK)",,60200,0.7282,2.055,4.13,264.47,121.14,225.07,0.3346,0.0333
"       (2019 BC1)",,60200,0.6343,2.531,17.75,118.18,328.73,64.79,0.2448,0.00362
"       (2019 BP1)",,60200,0.6303,2.549,23.73,34.33,18.02,67.28,0.2422,0.0323
"       (2019 BG2)",,60200,0.2760,1.265,14.22,328.99,65.56,152.29,0.693,0.0281
"       (2019 BT2)",,60200,0.4924,1.082,19.94,306.76,65.71,113.09,0.8755,0.0216
"       (2019 BF5)",,60200,0.7395,1.68,24.52,312.24,68.75,64.86,0.4526,0.0213
"       (2019 CH1)",,60200,0.7142,1.335,10.87,296.46,73.55,51.65,0.6393,0.0369
"       (2019 CT1)",,60200,0.3544,1.561,19.25,325.07,152.46,137.73,0.5053,0.0469
"       (2019 CU1)",,60200,0.5171,1.781,1.76,344.50,100.64,354.93,0.4148,0.0141
"       (2019 CD2)",,60200,0.7480,2.452,6.74,304.87,113.45,83.66,0.2568,0.032
"       (2019 CE4)",,60200,0.6607,2.852,20.69,38.59,347.10,353.53,0.2046,0.0148
"       (2019 CC5)",,60200,0.6054,1.844,7.49,131.24,295.55,320.17,0.3936,0.0173
"       (2019 CD5)",,60200,0.6666,2.316,2.62,32.70,211.19,86.87,0.2796,0.0247
"       (2019 DD2)",,60200,0.5117,2.045,36.59,179.02,30.13,191.22,0.3371,0.0467
"       (2019 EN)",,60200,0.6189,2.181,9.78,192.86,46.72,128.18,0.306,0.0246
"       (2019 EU2)",,60200,0.6671,2.432,15.59,198.95,246.43,87.80,0.2599,0.0338
"       (2019 FH)",,60200,0.7743,1.528,3.85,255.16,152.33,162.86,0.522,0.0355
"       (2019 FJ)",,60200,0.6128,0.7622,44.44,156.90,150.21,135.39,1.481,0.0182
"       (2019 FZ)",,60200,0.6287,0.8774,27.66,192.45,139.94,71.70,1.199,0.0109
"       (2019 FM2)",,60200,0.2690,0.9739,27.99,358.85,75.33,309.55,1.025,0.0242
"       (2019 GD1)",,60200,0.8006,2.613,3.56,197.58,237.21,44.28,0.2334,0.0296
"       (2019 GT2)",,60200,0.5108,1.839,6.74,88.39,343.87,0.02,0.3951,0.045
"       (2019 GT3)",,60200,0.6195,2.372,2.34,225.05,69.90,45.38,0.2698,0.0175
"       (2019 HN)",,60200,0.6357,1.863,34.75,207.39,81.71,236.80,0.3875,0.00826
"       (2019 HH4)",,60200,0.3876,1.533,33.86,211.47,150.75,350.94,0.5195,0.0208
"       (2019 JB1)",,60200,0.7753,2.004,19.92,54.17,288.79,171.27,0.3474,0.0174
"       (2019 KB4)",,60200,0.4517,1.89,17.52,134.77,192.06,212.94,0.3793,0.0287
"       (2019 KQ5)",,60200,0.6011,1.69,4.91,246.43,238.69,29.23,0.4488,0.0326
"       (2019 LG1)",,60200,0.3594,1.126,18.00,248.78,103.38,123.02,0.8247,0.0338
"       (2019 LZ1)",,60200,0.9257,2.233,9.50,220.78,223.20,115.73,0.2954,0.00218
"       (2019 LX4)",,60200,0.3076,1.462,2.94,269.98,68.70,95.96,0.5576,0.0413
"       (2019 LH5)",,60200,0.7059,1.603,3.00,120.70,269.27,8.62,0.4854,0.0129
"       (2019 LG6)",,58645,0.7373,2.278,16.90,95.85,260.59,345.42,0.2866,0.0359
"       (2019 MF1)",,60200,0.3186,1.536,9.75,285.28,5.37,70.24,0.5175,0.0307
"       (2019 MS3)",,60200,0.7203,2.63,8.61,138.99,231.55,328.45,0.231,0.0463
"       (2019 NA)",,60200,0.5689,1.979,7.77,207.23,141.31,162.83,0.3539,0.029
"       (2019 NA2)",,60200,0.6365,1.821,33.87,78.84,284.90,222.54,0.401,0.0395
"       (2019 NE2)",,60200,0.7291,1.73,8.48,267.89,124.18,278.93,0.4332,0.0459
"       (2019 NY2)",,60200,0.4413,1.749,11.35,139.79,199.66,259.60,0.426,0.0163
"       (2019 NO4)",,58675,0.6560,1.517,12.81,127.98,269.20,327.23,0.5273,0.0363
"       (2019 ND7)",,60200,0.5751,1.148,34.48,297.38,114.74,93.41,0.8016,0.00308
"       (2019 OO)",,60200,0.5025,1.635,32.67,132.08,253.01,315.06,0.4714,0.0404
"       (2019 OT)",,60200,0.5489,1.712,47.23,302.13,285.40,328.32,0.4402,0.0233
"       (2019 OM1)",,60200,0.5983,1.897,6.17,346.68,52.66,183.18,0.3772,0.0316
"       (2019 OR1)",,60200,0.3800,0.9597,18.28,236.84,297.64,234.95,1.048,0.00486
"       (2019 OQ2)",,60200,0.6030,1.448,4.11,200.40,256.83,57.12,0.5657,0.00688
"       (2019 OY3)",,60200,0.4727,1.858,48.65,297.42,350.87,230.61,0.3893,0.0329
"       (2019 PG1)",,60200,0.5931,2.458,20.34,281.61,13.63,26.28,0.2558,0.00613
"       (2019 QG)",,60200,0.2384,0.8219,12.63,290.21,216.10,344.81,1.323,0.0458
"       (2019 QT)",,60200,0.8285,2.218,4.43,236.48,215.01,61.23,0.2983,0.0425
"       (2019 QX)",,60200,0.6290,2.156,27.15,316.63,119.04,76.01,0.3113,0.00791
"       (2019 QY1)",,60200,0.4701,1.747,27.42,236.05,156.83,244.35,0.427,0.0374
"       (2019 QD2)",,60200,0.4601,1.804,11.96,271.69,18.31,254.55,0.4068,0.024
"       (2019 QD6)",,60200,0.6566,2.816,14.57,35.81,10.86,294.33,0.2086,0.0193
"       (2019 RC)",,60200,0.5084,2.048,22.90,175.06,202.26,123.82,0.3363,0.0266
"       (2019 RW)",,60200,0.5809,2.288,4.83,310.17,311.41,77.97,0.2848,0.0226
"       (2019 RU3)",,60200,0.7760,1.629,34.25,40.10,110.83,304.02,0.4743,0.0493
"       (2019 RV3)",,60200,0.6102,2.243,6.97,352.23,126.04,44.83,0.2935,0.0138
"       (2019 SH)",,58744,0.4748,1.217,45.13,179.15,273.02,314.50,0.7338,0.0306
"       (2019 TP1)",,60200,0.2694,1.296,25.22,12.05,126.31,134.45,0.6682,0.0329
"       (2019 UK)",,60200,0.3842,0.8828,21.70,206.39,318.86,128.98,1.188,0.0446
"       (2019 UO)",,60200,0.6380,2.651,5.70,277.61,184.96,307.70,0.2283,0.0205
"       (2019 UC4)",,60200,0.6451,2.486,8.60,249.62,203.67,340.31,0.2515,0.0449
"       (2019 UO9)",,60200,0.5805,1.912,5.49,7.55,148.47,112.83,0.3727,0.05
"       (2019 US10)",,60200,0.3855,1.453,26.95,43.25,304.15,106.58,0.563,0.0212
"       (2019 UN12)",,60200,0.8459,2.257,5.19,222.61,301.74,31.95,0.2907,0.0111
"       (2019 UX13)",,60200,0.3273,1.519,12.49,188.57,155.19,58.79,0.5264,0.0395
"       (2019 VD2)",,60200,0.7356,1.971,33.50,38.77,257.12,159.18,0.3561,0.0471
"       (2019 VL4)",,60200,0.8405,2.038,10.29,260.22,287.95,87.99,0.3389,0.0302
"       (2019 VF6)",,60200,0.4393,1.23,14.90,102.18,89.17,208.02,0.7224,0.00105
"       (2019 VG6)",,60200,0.4136,1.513,8.60,304.33,219.18,302.81,0.5293,0.0204
"       (2019 WF3)",,60200,0.5725,2.335,12.86,296.45,204.19,359.33,0.2763,0.0385
"       (2019 WL4)",,60200,0.5578,1.193,4.87,186.25,99.93,45.76,0.7567,0.0123
"       (2019 WW4)",,60200,0.5532,2.231,9.43,330.69,22.72,60.08,0.2958,0.0111
"       (2019 WX4)",,60200,0.6271,1.952,29.46,78.33,74.53,112.91,0.3615,0.02
"       (2019 WD5)",,60200,0.5427,1.63,4.74,312.08,228.24,255.61,0.4737,0.0323
"       (2019 WJ5)",,60200,0.7439,2.311,5.38,207.67,104.54,54.81,0.2805,0.0183
"       (2019 WQ19)",,60200,0.5814,1.387,29.99,240.24,272.81,80.06,0.6036,0.0283
"       (2019 XE1)",,60200,0.6135,1.935,30.30,291.97,244.94,123.34,0.366,0.0201
"       (2019 XO2)",,60200,0.3555,1.486,28.54,68.18,342.58,38.29,0.5441,0.0173
"       (2019 XW2)",,60200,0.5461,2.034,6.46,320.38,68.13,120.34,0.3397,0.0498
"       (2019 XA3)",,60200,0.6293,2.765,24.09,31.49,0.38,295.20,0.2144,0.0301
"       (2019 XK3)",,60200,0.7156,2.379,5.59,88.09,232.44,36.69,0.2687,0.0425
"       (2019 XQ3)",,60200,0.2601,1.237,50.96,88.49,52.17,226.80,0.7168,0.00924
"       (2019 YZ3)",,60200,0.5962,1.754,23.38,275.45,257.64,191.17,0.4244,0.0109
"       (2019 YX6)",,58843,0.8916,3.514,1.85,317.96,18.22,7.35,0.1496,0.0258
"       (2020 AD3)",,60200,0.5948,0.9827,2.64,268.43,73.83,338.86,1.012,0.0158
"       (2020 AN3)",,60200,0.5506,2.165,26.26,294.40,167.71,56.55,0.3095,0.0041
"       (2020 BX)",,58866,0.4088,1.466,20.95,92.59,130.76,308.32,0.5553,0.0438
"       (2020 BE1)",,60200,0.5034,1.716,30.09,103.48,111.65,187.09,0.4386,0.0495
"       (2020 BJ4)",,60200,0.6697,2.828,5.64,10.88,198.58,255.15,0.2072,0.0218
"       (2020 BC6)",,60200,0.7097,1.86,6.30,272.47,98.44,191.08,0.3884,0.00188
"       (2020 BC8)",,60200,0.7489,2.313,7.37,318.40,252.84,350.45,0.2801,0.0318
"       (2020 BN10)",,60200,0.3443,0.9277,20.53,185.76,68.98,275.40,1.103,0.0475
"       (2020 BS12)",,60200,0.7458,1.49,4.63,312.00,90.25,24.72,0.5419,0.0359
"       (2020 BX12)",,60200,0.5272,1.6,40.05,132.85,70.50,258.69,0.4868,0.00346
"       (2020 BP13)",,60200,0.3536,1.571,8.12,209.06,357.19,252.97,0.5007,0.01
"       (2020 BF14)",,60200,0.4752,1.284,36.14,349.26,83.40,230.20,0.6774,0.0435
"       (2020 BW14)",,60200,0.6527,2.693,15.99,21.47,28.01,303.70,0.2231,0.0142
"       (2020 BB15)",,60200,0.4143,1.718,5.31,16.21,177.69,197.94,0.4376,0.00464
"       (2020 BX15)",,60200,0.4498,0.7659,24.00,334.95,339.08,1.29,1.47,0.049
"       (2020 CL1)",,60200,0.3919,0.7245,45.48,325.89,9.72,107.99,1.598,0.00992
"       (2020 CB2)",,58885,0.2807,0.8556,27.14,1.01,50.17,95.40,1.245,0.0308
"       (2020 DY1)",,60200,0.6311,2.54,1.32,279.36,291.14,305.68,0.2435,0.0125
"       (2020 DP2)",,60200,0.7912,2.632,14.07,150.16,270.93,311.27,0.2309,0.00419
"       (2020 DR2)",,60200,0.6910,2.283,19.74,168.96,252.53,26.55,0.2858,0.0102
"       (2020 DC3)",,60200,0.8354,2.01,3.62,16.83,20.04,104.71,0.3458,0.0422
"       (2020 DT3)",,60200,0.6081,2.249,3.27,207.47,27.91,358.50,0.2922,0.0181
"       (2020 DM4)",,60200,0.4559,1.888,4.12,6.89,222.46,104.63,0.3799,0.0456
"       (2020 DB5)",,60200,0.5180,2.133,11.68,77.77,188.93,27.29,0.3163,0.0161
"       (2020 EN)",,60200,0.5538,2.059,7.75,113.07,300.26,80.97,0.3336,0.0485
"       (2020 FO1)",,60200,0.8181,2.304,2.87,35.74,262.41,339.30,0.2817,0.00765
"       (2020 FR1)",,60200,0.6140,1.406,13.11,26.46,255.78,352.60,0.5914,0.0105
"       (2020 FH2)",,60200,0.4933,1.816,7.99,55.66,51.89,175.96,0.4029,0.0296
"       (2020 FR3)",,58932,0.6475,1.973,8.87,174.62,261.66,24.72,0.3556,0.0107
"       (2020 FW4)",,60200,0.6945,2.295,5.13,50.21,222.59,342.56,0.2835,0.0469
"       (2020 FX4)",,60200,0.5933,2.448,9.87,155.19,357.22,330.86,0.2573,0.00514
"       (2020 FA5)",,60200,0.8004,1.916,6.56,39.41,242.12,88.76,0.3716,0.0104
"       (2020 FO5)",,60200,0.8901,3.274,7.41,227.21,79.51,200.97,0.1664,0.0221
